stratum_type,stratum,fields,n,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score,mode_sparse_canonical_count,mode_sparse_canonical_pct,sparse_canonical_identity_count,sparse_canonical_identity_pct,no_visible_social_arena_count,no_visible_social_arena_pct
period_language_bookgroup,period=pre-1550 | language_first=LATIN | elements_books_group=near_complete_or_expanded,period + language_first + elements_books_group,9,3.33,0.33,10.33,5.73,3,33.3,2,22.2,7,77.8
period_language_format,period=1700+ | language_first=LATIN | format_group=octavo,period + language_first + format_group,6,3.67,1.33,9.83,6.97,2,33.3,2,33.3,3,50.0
period_language,period=1700+ | language_first=GERMAN,period + language_first,3,1.33,0.67,8.67,3.73,1,33.3,1,33.3,2,66.7
period_language,period=1700+ | language_first=ITALIAN,period + language_first,3,4.0,0.67,11.33,6.93,1,33.3,1,33.3,2,66.7
period_language,period=pre-1550 | language_first=GREEK,period + language_first,3,1.33,0.0,7.0,2.73,1,33.3,0,0.0,3,100.0
language_format,language_first=ENGLISH | format_group=folio,language_first + format_group,3,4.33,0.67,14.0,7.8,1,33.3,0,0.0,2,66.7
language_format,language_first=ITALIAN | format_group=missing/unknown,language_first + format_group,3,4.0,0.67,10.0,6.67,1,33.3,1,33.3,2,66.7
language_format,language_first=LATIN | format_group=missing/unknown,language_first + format_group,3,4.0,0.0,10.67,6.13,1,33.3,0,0.0,3,100.0
language_format,language_first=SPANISH | format_group=quarto,language_first + format_group,3,2.67,1.0,13.33,6.33,1,33.3,0,0.0,1,33.3
period_format,period=1650-1699 | format_group=6,period + format_group,3,3.67,0.33,11.33,6.27,1,33.3,0,0.0,2,66.7
city_format,city=Arnhem | format_group=quarto,city + format_group,3,2.33,0.67,9.33,4.87,1,33.3,0,0.0,1,33.3
city_format,city=London | format_group=folio,city + format_group,3,3.67,0.0,12.0,6.07,1,33.3,0,0.0,3,100.0
city_format,city=London | format_group=quarto,city + format_group,3,3.67,2.33,9.0,7.8,1,33.3,1,33.3,1,33.3
city_format,city=Rome | format_group=folio,city + format_group,3,2.0,0.33,8.67,4.07,1,33.3,1,33.3,2,66.7
period_language_format,period=1550-1599 | language_first=FRENCH | format_group=octavo,period + language_first + format_group,3,3.33,2.0,9.33,7.2,1,33.3,0,0.0,1,33.3
period_language_format,period=1650-1699 | language_first=LATIN | format_group=6,period + language_first + format_group,3,3.67,0.33,11.33,6.27,1,33.3,0,0.0,2,66.7
