classification_key,year,city,language,primary_classes,base_content,elements_designation,references_to_euclid
Rome_1545,1545,Rome,"GREEK, LATIN",Theoretical Mathematics,ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV,ΕΥ’ΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛΙΑ ιε | EVCLIDIS ELEMENTORVM LIBRI XV,ΕΥ’ΚΛΕΙΔΟΥ | EVCLIDIS
Rome_1545a,1545,Rome,LATIN,Theoretical Mathematics,I QVINDICI LIBRI DEGLI ELEMENTI DI EVCLIDE,I QVINDICI LIBRI DEGLI ELEMENTI DI EVCLIDE,EVCLIDE
Rome_1589,1589,Rome,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES Libri sex a x. ad xv | EVCLIDIS ELEMENTORVM LIB. XV | EVCLIDIS POSTERIORES LIB. IX,EVCLIDIS ELEMENTORVM LIBRI XV | EVCLIDIS POSTERIORES Libri sex a x. ad xv | EVCLIDIS ELEMENTORVM LIB. XV | EVCLIDIS POSTERIORES LIB. IX,EVCLIDIS
Rome_1591,1591,Rome,LATIN,Astronomy,EVCLIDIS PHAENOMENA,EVCLIDIS PHAENOMENA,EVCLIDIS
Rome_1594,1594,Rome,"ARABIC, LATIN",,EVCLIDIS ELEMENTORVM GEOMETRICORVM Libri Tre-decim,EVCLIDIS ELEMENTORVM GEOMETRICORVM,إقليدس | EVCLIDIS
Seville_1576,1576,Seville,SPANISH,Theoretical Mathematics,LOS SEIS LIBROS PRIMEROS DELA GEOMETRIA DE EVCLIDES,LOS SEIS LIBROS PRIMEROS DELA GEOMETRIA DE EVCLIDES,EVCLIDES
Siena_1691,1691,Siena,LATIN,,ELEMENTA EVCLIDIS,ELEMENTA EVCLIDIS,EVCLIDIS
Strasbourg_1529,1529,Strasbourg,LATIN,,"ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria","ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria",EVCLI
Strasbourg_1538,1538,Strasbourg,"GREEK, LATIN",,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ
Strasbourg_1559,1559,Strasbourg,"GREEK, LATIN",,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ,ΕΥΚΛΕΙΔΟΥ
Strasbourg_1570a,1570,Strasbourg,"GREEK, LATIN",Astronomy | Music Theory | Perspective,ΕΥΚΛΕΙΔΟΥ ΠΡΟΤΑΣΕΙΣ Στοιχείων | EVCLIDIS Propositiones. Elementorum,ΠΡΟΤΑΣΕΙΣ Στοιχείων | Propositiones. Elementorum,ΕΥΚΛΕΙΔΟΥ | EVCLIDIS
Strasbourg_1572,1572,Strasbourg,LATIN,Astronomy | Theoretical Mathematics,SPHAERICAE DOCTRINÆ PROPOSITIONES GRÆCÆ ET LATInæ,,
