author_canonical,geographic_reach_type,matched_edition_count,any_practical,majority_practical,practical_share,any_books_1_6_or_solids,majority_books_1_6_or_solids,books_1_6_or_solids_share,any_vernacular_non_latin,majority_vernacular_non_latin,vernacular_non_latin_share,any_small_format_8_or_smaller,majority_small_format_8_or_smaller,small_format_8_or_smaller_share,any_large_format_folio_quarto,majority_large_format_folio_quarto,large_format_folio_quarto_share,any_institution,majority_institution,institution_share,any_jesuit,majority_jesuit,jesuit_share,any_pedagogy_access,majority_pedagogy_access,pedagogy_access_share,any_method_order,majority_method_order,method_order_share,any_augmentation,majority_augmentation,augmentation_share,any_restoration_ancient,majority_restoration_ancient,restoration_ancient_share,any_correction,majority_correction,correction_share,any_visual_aids,majority_visual_aids,visual_aids_share
Johannes de Sacrobosco,single_city,7,True,False,0.14285714285714285,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0
Pierre Forcadel,single_city,4,False,False,0.0,True,False,0.25,True,True,1.0,True,True,0.5,True,True,0.5,True,True,0.5,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.5,True,True,0.75,False,False,0.0,False,False,0.0
Pierre Hérigone,single_city,4,False,False,0.0,True,True,0.5,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,0.5,False,False,0.0,False,False,0.0
Giorgio Valla,single_city,3,True,False,0.3333333333333333,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,False,0.3333333333333333,True,True,0.6666666666666666,True,True,1.0,False,False,0.0,False,False,0.0
Giovanni Ricci,single_city,3,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Jean Errard,single_city,3,False,False,0.0,True,False,0.3333333333333333,True,True,1.0,True,True,0.6666666666666666,True,False,0.3333333333333333,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,0.6666666666666666,False,False,0.0
Ambrosius Rhode,single_city,2,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0
Angelo Caiani,single_city,2,False,False,0.0,False,False,0.0,True,True,0.5,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
Charles Malapert de Mons,single_city,2,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,True,True,0.5,False,False,0.0
"Christopher Clavius, Christoph Grienberger",single_city,2,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Didier Dounot,single_city,2,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,0.5,True,True,1.0,False,False,0.0,True,True,1.0,True,True,1.0,True,True,0.5,True,True,1.0,True,True,0.5,False,False,0.0
Guiseppe Auria,single_city,2,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,0.5,False,False,0.0,True,True,1.0,False,False,0.0,True,True,0.5,True,True,1.0,False,False,0.0,True,True,1.0
Honorat de Meynier,single_city,2,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,0.5,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
"Jan Pietersz Dou, Sebastian Curtius",single_city,2,False,False,0.0,True,True,1.0,True,True,1.0,True,True,0.5,True,True,0.5,True,True,1.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,0.5,True,True,1.0,False,False,0.0,True,True,1.0
Marin Mersenne,single_city,2,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.5,True,True,0.5,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.5,True,True,0.5,False,False,0.0,False,False,0.0
Niccolò Tartaglia,single_city,2,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
