elements_books,additional_content,wardhaugh_classification,key,short_title,short_title_source,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,year_num,city_clean,language_clean,period_25
1–6,,CLAVIUS,Cambridge_1665,"Euclidis sex primi Elementorum geometricorum libri, commodiùs demonstrati. A.P. Georg. Fournier è societate Jesu. Accesserunt elementa astronomica, ubi Theodosii Tripolitæ sphæricorum libri tres, & universa triangulorum resolutio demonstrantur per Johannem Baptistam Duhamel, Mathesews Professorem.",Provided by catalog,1665,Cambridge,LATIN,Georges Fournier,,12.0,1.0,3083853,"digital copy exist, but doesn;t contain title page...",,1665.0,Cambridge,LATIN,1650-1674
1-6,,CLAVIUS,Würzburg_1661,"Cursus mathematicus, sive Absoluta omnium mathematicarum disciplinarum encyclopaedia",Specified in source,1661,Würzburg,LATIN,Gaspar Schott,Job Hertz,2.0,1.0,,,,1661.0,Würzburg,LATIN,1650-1674
1-6,,CLAVIUS,Graz_1636,Euclidis sex primi elementorum geometricorum libri cum parte undecimi ex majoribus Clavij commentarijs in commodiorem forma contracti,Specified in source,1636,Graz,LATIN,"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",Heirs of Ernst Widmanstetter,12.0,1.0,-,,,1636.0,Graz,LATIN,1625-1649
1–6,,CLAVIUS,Bamberg_1677,,,1677,Bamberg,LATIN,Gaspar Schott,Joh. Martini Schönwetteri,2.0,1.0,,,,1677.0,Bamberg,LATIN,1675-1699
1-6,,COMMANDINO,Ingolstadt_1617,Euclidis elementorum geometricorum libri sex priores,Specified in source,1617,Ingolstadt,LATIN,Johann Lanz,Angermayer,8.0,1.0,,,,1617.0,Ingolstadt,LATIN,1600-1624
1-6,,COMMANDINO,Bologna_1629,Euclidis elementorum geometricorum libri sex priores,Specified in source,1629,Bologna,LATIN,Johann Lanz,Heirs of Giovanni Rossi,8.0,1.0,,,,1629.0,Bologna,LATIN,1625-1649
"1-6, 11-12",,TACQUET,Antwerp_1654,Elementa geometriae planae et solidae,Specified in source,1654,Antwerp,LATIN,André Tacquet,Jacob Meursius,8.0,1.0,-,,,1654.0,Antwerp,LATIN,1650-1674
"1–6, 11–12",,TACQUET,Antwerp_1672,,,1672,Antwerp,LATIN,André Tacquet,Jacob Meursius,8.0,1.0,,,,1672.0,Antwerp,LATIN,1650-1674
"1–6, 11–12",,TACQUET,Padua_1694,,,1694,Padua,LATIN,André Tacquet,,8.0,1.0,-,,,1694.0,Padua,LATIN,1675-1699
"1–6, 11–12",,CLAVIUS,Oxford_1685,,,1685,Oxford,ENGLISH,Claude-François Milliet Dechales,L. Lichfield,4.0,1.0,,,,1685.0,Oxford,ENGLISH,1675-1699
